#CG	num	age	ageperr	agemerr	Z	E(BP-RP)	E(BP-RP)err	AG	AGerr	rv	rverr	Msing	Msingerr	Mb	Mberrr	Mtot	Mtoterr	InfraEx	InfraExerr
CG1	260	650	100	400	0.2	0.04231391160786813	0.04673601365921764	0.08462782321573625	0.09347202731843528	0.16103458799526282	1.069365229385959	186.2333524325105	1.1023631050424958	199.5633524325105	1.3484867826044615	300.92048510899144	25.930526096572486	0.04184054656999011	0.03632943386852892
CG3	534	11	9	4	0.2	0.13424724985235797	0.05510706082292045	0.26849449970471595	0.1102141216458409	21.396002588204766	1.8337976610280586	267.69586583101386	7.266132244322763	281.1658658310139	10.74851723690235	398.2536919915994	56.361027872535644	0.062283940389032316	0.03077063056286563
CG4	34	5	5	2	0.1	0.3488346699188474	0.028129113359735673	0.6976693398376947	0.056258226719471345	21.586545956496167	1.1412551618438085	18.174383313244977	0.32309240512654336	20.00438331324498	0.35986865972248044	30.815602821051623	3.1307447848406733	0.31103876608808256	0.03724986931686123
CG14	443	10	5	4	0.0	0.16075062578596352	0.05350893723282295	0.32150125157192705	0.1070178744656459	20.7961302240736	1.6374738203598842	237.14393605792668	12.079152169619693	240.94504602726616	12.081690929893142	325.7356452702966	49.51029552914997	0.06843860571356228	0.03409609511833025
CG17	297	45	55	20	0.2	0.0362731572597962	0.02672819088338355	0.0725463145195924	0.0534563817667671	19.395796290411365	1.5602876504408127	175.09135412884103	3.711309032244994	181.34966089754704	3.7294635584861715	252.43187959713768	26.57485892473428	0.02494171704826206	0.021748985709957785
CG22	102	6	4	2	0.1	0.2226493029956575	0.07742414447584992	0.445298605991315	0.15484828895169983	22.24318288479993	1.870437725780611	52.268175459926816	1.3695435605918125	52.69817545992681	1.3703871038354454	76.97382893033837	9.431262745750585	0.1091626101333989	0.04497651997121429
CG30	29	2	2	1.5	0.1	0.04453463988946639	0.1434753272203511	0.08906927977893278	0.2869506544407022	22.750945735182285	1.9800343634207713	12.12219593935362	0.253188477123934	12.40719593935362	0.2581388288273131	20.78540632694965	2.6699753150628998	0.24467097872166865	0.06489015332970423
GDC1	174	25	15	10	0.1	0.05987680454292939	0.021569825226618194	0.11975360908585878	0.04313965045323639	10.145760802239947	1.586722293770965	95.86540630286392	0.8371039032043509	98.10540630286393	0.8505761692875948	144.52461309789197	12.965918466547683	0.053824737215409334	0.016409375016413225
