#name	std	rv	rverr	vsini	vsinierr	bestspt	flag
CG14_1	HD32450	23.573975283207403	0.7411197489738602	8.280938645625397	1.4428661880239462	K7V	0
CG14_1	HD157881	23.848859451950176	0.6637843624202088	8.333145698685524	2.970477650913639	K7V	0
CG14_1	HD217357	23.674881722059144	0.7287189095667416	9.896272026328017	2.7493429240093286	K7V	0
CG14_1	HD165222	23.349679666239176	0.8786945829003072	8.237401534982965	1.3877622297414718	K7V	0
CG14_1	HD111631	23.633872557959524	0.7131710815442119	7.1454148335608245	1.5829426686748655	K7V	0
CG14_1	HD209290	23.50753278550973	0.7719506237381265	22.285415228152083	1.1717562936059762	K7V	0
CG14_1	HD42581	23.205783808945807	0.8217612354710662	12.190122828277053	1.842328634581724	K7V	HD42581
CG14_10	107Psc	18.146777539437842	1.1989074031186	15.29203455834839	1.4794654027498626	K4V	0
CG14_10	HD22049	18.323850905500002	1.0930548623293581	14.262984651185262	2.4455091379194736	K4V	0
CG14_10	epsFor	17.91425367152158	1.1336819096852346	15.988195280724335	2.5024411783916913	K4V	epsFor
CG14_10	HD16160	18.33602126839989	0.9721895973449862	14.235661545018042	3.1516317904906788	K4V	0
CG14_10	HD144628	18.215293566943593	0.9969235587708808	16.626437700950085	2.243894695918398	K4V	0
CG14_10	HD32147	18.216601553899853	1.072945079776124	11.257418141038004	3.5569892788451902	K4V	0
CG14_10	HD50281	18.238236649328194	0.935122890557418	12.690953549623224	3.81872308717944	K4V	0
CG14_10	HD216803	18.161069343675788	0.82544809996945	10.928086171530758	3.7076425338041714	K4V	0
CG14_10	HD131977	18.372372942120773	0.8530134746882675	11.834127344850433	3.0760743634907	K4V	0
CG14_10	epsInd	18.19716802148282	0.893476818697653	12.289455874634731	3.024314566617082	K4V	0
CG14_10	HD103932	18.423542755523844	0.9285447153885911	11.184753593293472	3.9132675292129546	K4V	0
CG14_11	HD16160	22.009320415107865	0.9066203889791611	23.407333828082383	2.577918292670263	K3V	0
CG14_11	HD144628	22.143828709835134	1.019839882446627	24.407993923926785	2.8260198659365976	K3V	0
CG14_11	HD32147	22.153719194331565	0.6889761662301158	20.385429594704597	2.979798581944613	K3V	0
CG14_11	HD50281	22.150616581728826	0.9197437969660249	21.956275328126765	3.315859322249163	K3V	0
CG14_11	HD216803	21.913614633044958	0.936194830086051	21.293290657604608	2.2151701322156248	K3V	0
CG14_11	HD131977	22.05852285502102	0.7541490410132607	21.558911468015577	3.153608145148733	K3V	0
CG14_11	epsInd	21.948819865418162	0.9384129221942393	22.164006546086732	1.9509220213162746	K3V	0
CG14_11	HD103932	22.269643498503683	0.695511289187819	20.07168379813203	2.700279452410081	K3V	0
CG14_11	HD32450	22.303662734859245	1.300587130812749	19.543865670802663	1.7963336842147226	K3V	0
CG14_11	HD157881	22.644897214050715	0.9555099930021786	18.47374325068037	4.238491927157516	K3V	HD157881
CG14_11	HD217357	22.37270819626001	1.1050354988042328	19.936774432376428	2.3510916088752993	K3V	0
CG14_12	HD22049	20.12940317384406	0.48399884100123486	15.00273182618428	4.300571026935744	K3.5V	0
CG14_12	epsFor	19.913319852911123	0.6809307590488725	17.02847558043544	3.491347569086292	K3.5V	0
CG14_12	HD16160	20.172884108780014	0.5287062066468983	13.220316255096963	3.005375734297803	K3.5V	0
CG14_12	HD144628	20.11939105881551	0.46627373997362226	15.69396504029502	3.6922657967406955	K3.5V	0
CG14_12	HD32147	20.15878885524627	0.562270364969898	12.01381749023549	3.494166884828881	K3.5V	0
CG14_12	HD50281	20.165946681515855	0.44125974459330264	13.215792958900304	3.3802714580623867	K3.5V	0
CG14_12	HD216803	19.941440467020577	0.5094260592767228	12.837667638988878	3.2890611446491023	K3.5V	0
CG14_12	HD131977	20.27075576422139	0.5153565928022478	13.461174058819962	3.7008754170088602	K3.5V	0
CG14_12	epsInd	20.0353379637935	0.49396206601632303	12.67412434037967	3.1103933143719957	K3.5V	0
CG14_12	HD103932	20.255360231783484	0.5312210128264733	12.531399675411937	2.904178178853363	K3.5V	0
CG14_13	107Psc	16.649610271863942	0.6322056281720437	15.843968623081338	4.165466000072025	K4V	0
CG14_13	HD22049	16.90269547211297	0.689051654660935	13.673445758982043	3.4859393550521234	K4V	0
CG14_13	epsFor	16.37304635002198	0.8336964708670774	16.48843955283173	3.9888161052257036	K4V	epsFor
CG14_13	HD16160	16.699830392207573	0.5435244992866909	13.684899634053002	3.57040975693549	K4V	0
CG14_13	HD144628	16.680307983435636	0.7874293971699934	15.766296708151634	3.572299559603122	K4V	0
CG14_13	HD32147	16.748564391012135	0.5996776137983795	10.867295654363339	3.5581981560841562	K4V	0
CG14_13	HD50281	16.936637110919428	0.5906151432712613	11.072957015212603	3.355648082952733	K4V	0
CG14_13	HD216803	16.62449907316544	0.4972630232565984	8.331469835872651	1.670723114232086	K4V	0
CG14_13	HD131977	16.81783248274337	0.514398433342852	10.759633378497355	3.1976499628142303	K4V	0
CG14_13	epsInd	16.58766860644813	0.4787741936569552	11.67370312594922	4.034593002041632	K4V	0
CG14_13	HD103932	16.844514968893037	0.5469388283060918	12.061606612822372	3.6586125192955183	K4V	0
CG14_14	HD32450	18.714409291910865	1.610373035472775	24.86051574105487	7.0886848383567225	K7V	0
CG14_14	HD157881	18.39153415534197	0.6192429292794228	25.530543592242438	5.837045065209787	K7V	0
CG14_14	HD217357	18.280018360984695	0.8651215727647665	27.526151924783992	6.602515781595433	K7V	0
CG14_14	HD165222	1002.4950307233896	1631.4990817068146	20.623214848019927	3.58227934919141	K7V	HD165222
