#name	rv	rverr	vsini	vsinierr
CG14_1	23.572718786545007	0.2840542919489871	12.440808412695077	0.612306269854503
CG14_10	18.242711905956178	0.2930844543403112	14.23195610801804	0.7946216293172447
CG14_11	22.166703798412122	0.2665549633089557	21.183227704855856	0.7602942921285191
CG14_12	20.12397526436129	0.16187665908697899	13.602420245706645	1.0678403930795735
CG14_13	16.72310776772866	0.1761693395297976	11.505033356778034	0.9450930444552165
CG14_14	18.383855156518703	0.4096599563818196	24.579369021720275	1.2625401254555846
CG14_15	20.270468291405464	0.24104344554945203	14.13112504186899	0.3312944248879077
CG14_2	23.463540297426878	0.42723488717264874	22.168976998873326	0.4777472791218918
CG14_3	21.12733790764584	0.5053386670106836	26.559791615932845	0.5937192029190193
CG14_4	22.05958536024748	0.4930886779122573	22.330140921482617	1.0162227518377205
CG14_5	28.262855382083075	0.139212874336562	8.340251431131504	0.44423576906439083
CG14_6_target_1	21.65997141292929	0.2031744064612247	7.0424857264410745	0.37978682382095647
CG14_6_target_2	47.95626647448839	0.22427111544606737	8.508809019460394	0.1811327387671982
CG14_7	22.409659376269783	1.0607707636332386	56.37462904804771	0.035352340891899606
CG14_8	21.2905071615642	0.1342010162879955	12.572707169424119	1.0357730890731442
CG14_9	18.359585047617685	0.24836968268352067	11.46781956681246	0.0978241492548947
CG22_1	21.012706183890458	0.16762764208007816	16.429819730587447	0.04871828211196742
CG22_10	22.822254903536585	0.2363142268971243	8.908164997084645	0.48340904492613024
CG22_11	21.177612082199175	0.10816710858673392	20.34176758536669	0.04076176896649559
CG22_12	22.426255227539148	0.23751140536104867	11.986607625355939	0.26996402006265235
CG22_13_target_1	60.73861613814336	0.8353737393582519	30.032735410521187	0.0499951204096233
CG22_13_target_2	23.18856569389769	0.22338402262641358	12.747915595430634	0.06259745104641347
CG22_14	21.168884335729512	0.37279530831528296	8.857793782320089	0.29924485851689564
CG22_17	21.931072838669394	0.1825932472912013	7.757522318269384	0.09266324495336457
CG22_20	26.06933710170684	0.9894490860664196	36.24622971406379	1.2404267643288076
CG22_21	24.74337162011288	0.17360834729528776	14.651850743744799	0.4196590114492949
CG22_5	22.68340072784242	0.3628931001994095	15.511376396209366	0.5138580055841647
CG22_6	14.783834052993937	1.1537068240867125	13.978335847903727	0.04471780256467313
CG22_7	26.883414978747737	0.1505750577381738	13.546735957226558	0.09735035627755799
CG22_8	20.063852109396013	4.351070265211478	59.42624718250094	0.044650072468591664
CG22_9	19.375508136528627	0.12032546231580374	40.329883746499576	0.08134135054981634
CG30_1	14.58349266113194	0.6742881151413458	17.688609361755166	0.854723351983419
CG30_11	25.235720662809793	4.574845420579131	49.562794445590136	0.0576764614118465
CG30_12_target_1	24.32608852471957	0.6662628079453271	22.124888506854866	0.04082023025452518
CG30_12_target_2	41.11945870426535	0.722256998059096	11.76247742997146	0.41595590557887496
CG30_13	21.362241173848968	0.7355057417264579	12.891283533691986	0.03737514773099693
CG30_2	22.838946793326524	0.2126637673975385	21.347541875975033	0.03778401332164229
CG30_3	22.004918204641864	0.21196661357407234	20.266340121926042	0.06976459904482804
CG30_4	16.842911258192338	4.723078209889751	62.161929536543134	0.06787165618474844
CG30_5	16.90441427487518	1.6022703743150697	52.35301918046382	0.1
CG30_6	23.970259488142503	0.5045371025076208	20.565731540216138	0.0704129129667002
CG30_7	25.468039094901506	0.6832598885413791	18.637686335674093	0.07059891064762927
CG30_8	23.875089092159865	0.3309710974554083	20.658283243696903	0.9106094453482801
CG30_9_target_1	20.73885367798089	1.2128424675980423	51.65498829217254	0.09963158976351079
CG30_9_target_2	79.45807188777592	3.417297599918342	9.052836508318855	0.044395026137436906
CG3_69	22.52394856398986	0.981986083832325	34.68885118192384	1.9499449983947086
CG3_70	27.307657410057185	0.19384023916163334	14.903459530800268	0.29299126891694993
CG4_1	21.768720113487166	0.7544482394047596	31.364563676873857	1.0257172993197907
CG4_2	12.840385524678322	0.4888644111208306	17.951478132395703	0.05756101532532559
CG4_3	22.763983722226662	0.27233680599471555	18.10495953673084	0.5653051971594787
CG4_4	11.481776906551994	0.5730213866723968	23.78117660983507	0.09965769261184437
CG4_5	18.011453942890043	11.947168110109702	59.70508536029829	0.033324110471808
CG4_6	23.75476690754864	7.885971674158582	61.95170714332746	0.04471102349836437
CG4_7	22.00414385179351	0.18278240015892785	16.515210396685518	0.1943110575911061
CG4_8	23.43549570970456	0.4097330107946202	26.93083063906436	0.7630061056888071
GJ83dot1	-28.320351133698463	0.32737439696176773	36.12548606561219	0.07071067811865477
HD217357	24.583221852653907	0.4270048960880906	16.85271883532659	0.57944399897735
HD36003	-56.17321837681438	0.3237028954883882	13.753698125830487	0.22687576385137456
HD42581	4.053203469704179	0.13386742737739496	16.865323043219167	0.05773502691896258
HIP18280	62.68971476188581	0.41602814741711147	49.244527451194635	0.09674469355694884
