#name	rv	rverr	vsiniul	vsini	vsinierr	numstd	bestspt	binflag	beststd	CG
CD-463053	-0.3353857009728871	1.859444514535913	nan	59.42304040928269	nan	4	F2V		ksiOph	CG1
2MASSJ07220786-460	-0.30222840868552014	0.09646818663210653	u	4.0	1.331918343583717	6	G5.5V		HD21019	CG1
TYC8120-2138-1	-0.53921639420378	0.7151855609339764	nan	26.838856089008413	4.8230244955848915	3	F1V		HD40136	CG1
CD-472887	11.055617622027844	2.985627161210509	nan	50.4073748139228	25.35347093161291	8	A1V	SB1?	HD65900	CG1
2MASSJ07162092-463	0.6198941307530041	0.32296256913627397	u	4.0	1.7432396689402523	8	G9V		epsFor	CG1
2MASSJ07184659-453	0.4484056807786243	0.24382111504471107	nan	4.047560598251253	1.6355143711575584	8	G9V		epsFor	CG1
2MASSJ07140743-462	0.6475873228216149	0.7908291196679937	nan	4.31918123107479	0.6497333444350535	8	K2V		HD22049	CG1
HD57416	-2.044460990168664	1.9612229233217349	nan	45.42836518655661	28.944487259074414	7	A3V		HD96568	CG1
CD-463075	-10.106080131561788	6.575353972769916	nan	120.61716614376968	14.920479690283125	3	A7V	SB1?	73Vir	CG1
CD-472816	-0.41917053818392885	0.7532973842770543	nan	21.48213482474872	2.339884610534947	3	F1V		HD40136	CG1
HD56857	-60.59472114397871	0.25506250180777146	nan	16.011476166924254	3.852765234001226	6	F5.5V	SB1?	53Vir	CG1
CD-463031A	1.907809498154551	0.32263719681800607	nan	15.403950543672835	2.753357879464042	8	G0V		HD34721	CG1
TYC8119-1855-1	-1.9348451227440973	0.27465076254862536	nan	24.246121125513472	1.8066802154266801	6	F6V		tauPsA	CG1
HD57552	nan	nan	nan	40.50486799898331	27.67985283380685	7	A2V		HIP113673	CG1
HD57597	nan	nan	l	nan	nan	8	A1V		HD91375	CG1
2MASSJ07122400-452	1.2018797862565158	0.12329677120285308	nan	4.346012388764213	1.0134969339606295	9	G2V		18Sco	CG1
TYC8124-2032-1	9.94845890845157	1.5911937334454211	nan	84.64244937523377	37.7702279634052	6	A3V	SB1?	HD216956	CG1
2MASSJ07254813-470	10.762275898960633	0.18778553510140167	nan	12.008439765863157	0.7891244800715976	7	G9V	SB1?	epsFor	CG1
