#CG	medianrv	medianrverr	medianpra	medianpraerr	medianpdec	medianpdecerr
CG1	0.16103458799526282	1.069365229385959	-9.812	0.16291587634862326	11.848	0.17204410656333033
CG3	21.40057667411813	1.825437528086749	-4.685	0.09471240128661085	8.788	0.12012431832002973
CG4	21.586545956496167	1.1412551618438087	-4.026	0.0	8.998	0.0
CG14	20.796130224073597	1.637473820359884	-5.4879999999999995	0.09498625631578965	8.161999999999999	0.10302386454927158
CG17	19.395796290411365	1.5602876504408127	-12.788	0.3195168714510526	9.985	0.2458176948479218
CG22	22.243182884799932	1.870437725780611	-6.977	0.08502168840948751	11.0015	0.1259017474064599
CG30	23.1	1.9	-7.5	1.2	11.6	2.0
GDC1	10.145760802239945	1.586722293770965	-13.114	0.21521560767162567	3.18	0.08772937311171432
